context	svi_tertile	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
with_current_y	high	4	0.2	0.3	12	120	0.1148382386146976	0.12406645988989572	0.22474747474747472	0.20833333333333334
with_current_y	low	0	0.0	0.0	12	184	0.07500897423199276	0.07464971055004593	0.07083333333333333	0.07065217391304347
with_current_y	low	0	0.0	0.3	12	184	0.06382109335949689	0.06380854671519105	0.08784722222222223	0.08695652173913043
with_current_y	low	0	0.1	0.0	12	142	0.06087955084707519	0.05850646190855898	0.22394179894179891	0.21830985915492956
with_current_y	low	0	0.1	0.3	12	122	0.02613940946495516	0.03237047699002721	0.2448717948717949	0.23770491803278687
with_current_y	low	1	0.0	0.0	12	184	0.10276168471893571	0.10222262175686829	0.048611111111111105	0.04891304347826087
with_current_y	low	1	0.0	0.3	12	184	0.09036249898446762	0.09017330559469895	0.05937499999999999	0.059782608695652176
with_current_y	low	1	0.1	0.0	12	155	0.11986277413048385	0.11855507895847361	0.15187208624708626	0.14838709677419354
with_current_y	low	1	0.1	0.3	12	154	0.05591705064979902	0.06421734653677803	0.2900106837606838	0.2792207792207792
with_current_y	low	2	0.0	0.0	12	184	0.12901951471282272	0.128233962484057	0.05416666666666666	0.05434782608695652
with_current_y	low	2	0.0	0.3	12	184	0.11741960047796039	0.11694507739785044	0.08090277777777777	0.08152173913043478
with_current_y	low	2	0.1	0.0	12	159	0.15209144474755604	0.1518608725623655	0.14454156954156955	0.13836477987421383
with_current_y	low	2	0.1	0.3	12	164	0.09887907374866545	0.10231234241763201	0.28125	0.27439024390243905
with_current_y	low	3	0.0	0.0	12	184	0.14857210267144053	0.1475599718607999	0.06527777777777777	0.06521739130434782
with_current_y	low	3	0.0	0.3	12	184	0.13726938278764758	0.1365882507786085	0.06527777777777777	0.06521739130434782
with_current_y	low	3	0.1	0.0	12	177	0.18523403205438238	0.18171714021246782	0.17633928571428573	0.1751412429378531
