context	geo_id	pathogen	horizon_weeks	test_weeks	rmse_ar	rmse_fusion	delta_rmse_fusion_minus_ar	fusion_better_than_ar	n_weeks	median_samples_per_week	mean_samples_per_week	p10_samples	p90_samples	median_population_coverage	mean_population_coverage	coverage_tertile_median_population_coverage	coverage_tertile_median_samples
early_warning	FL	Influenza	1	52	0.048442087661964	0.0720619396739068	0.023619852011942798	0	170	53.0	56.10588235294118	27.0	81.0	0.1550168657968118	0.1595953924445545	mid	high
early_warning	FL	RSV	1	52	0.0348397932144533	0.1193437809859152	0.0845039877714619	0	170	50.0	49.68235294117647	26.0	81.0	0.1457824221428218	0.1449608130387321	low	high
early_warning	GA	COVID-19	1	52	0.0579278441430506	0.0594772230987248	0.0015493789556742035	0	170	47.0	46.423529411764704	40.0	52.0	0.1610685964425272	0.15630550286173617	mid	high
early_warning	GA	Influenza	1	52	0.0584046062751956	0.0987895032662645	0.0403848969910689	0	170	39.0	35.358823529411765	19.0	50.099999999999994	0.11846140641751254	0.1197818385281171	low	high
early_warning	GA	RSV	1	52	0.0424593664033566	0.1006991097896361	0.0582397433862795	0	170	39.0	36.09411764705882	21.0	50.099999999999994	0.12105998433147865	0.121436036584917	low	high
early_warning	HI	COVID-19	1	52	0.0928872601384981	0.1502559914222392	0.05736873128374109	0	170	24.0	24.776470588235295	19.900000000000002	33.0	1.1275702567402532	1.0860870051868217	high	mid
early_warning	HI	Influenza	1	52	0.1561239383210669	0.168524194690759	0.012400256369692081	0	149	24.0	22.409395973154364	15.0	31.0	1.1275702567402532	1.0038317820308502	high	mid
early_warning	HI	RSV	1	52	0.0727248110839688	0.1543249960097756	0.08160018492580678	0	149	24.0	22.97986577181208	17.8	31.0	1.1275702567402532	1.006794022931595	high	mid
early_warning	IA	COVID-19	1	52	0.1530336165726412	0.1641861468708776	0.011152530298236402	0	170	25.0	24.641176470588235	21.0	29.0	0.2163670722412379	0.17547304192508056	mid	mid
early_warning	IA	Influenza	1	52	0.153660879675707	0.1581916481448785	0.004530768469171498	0	170	25.0	22.3	14.0	29.0	0.2163670722412379	0.1677577056319435	mid	mid
early_warning	IA	RSV	1	52	0.1093734132859634	0.3016842674839654	0.19231085419800198	0	170	25.0	22.388235294117646	15.0	29.0	0.2148037677538158	0.15635612363149018	mid	mid
early_warning	ID	COVID-19	1	52	0.1311471435493789	0.2755793415046588	0.1444321979552799	0	170	15.0	21.53529411764706	11.0	43.099999999999994	0.3535053679387797	0.3595334156021323	high	mid
early_warning	ID	Influenza	1	52	0.1315365364561569	0.1319124197580654	0.00037588330190849173	0	170	14.0	12.805882352941177	8.0	16.0	0.23319798455431578	0.25545406677980903	mid	low
early_warning	ID	RSV	1	52	0.1203540576119893	0.1971900606457576	0.07683600303376828	0	170	11.0	11.441176470588236	8.0	15.0	0.1964087595165494	0.2520024357062888	mid	low
early_warning	IL	COVID-19	1	52	0.0731650283669483	0.0907593035355638	0.017594275168615503	0	170	161.0	146.11176470588236	103.0	178.0	0.5541507631708673	0.5533018943942977	high	high
early_warning	IL	Influenza	1	52	0.0734669384985105	0.0812412620260993	0.007774323527588792	0	170	160.0	144.91764705882352	103.0	176.0	0.5508228646095825	0.5510702183589178	high	high
early_warning	IL	RSV	1	52	0.0634716082732614	0.1169136264086786	0.0534420181354172	0	170	159.0	137.2058823529412	98.60000000000001	176.0	0.5508228646095825	0.5272174615516205	high	high
early_warning	IN	COVID-19	1	52	0.0858277496267673	0.1054996849940103	0.019671935367243	0	170	55.0	56.752941176470586	49.0	67.0	0.24310498516071855	0.236615600642582	mid	high
early_warning	IN	Influenza	1	52	0.0861655514773485	0.1295159433142787	0.04335039183693021	0	170	16.0	35.082352941176474	10.0	67.0	0.0397149468411736	0.13236259659832927	low	mid
early_warning	IN	RSV	1	52	0.058420474596941	0.092579270335821	0.034158795738880005	0	170	16.0	35.68235294117647	12.0	67.0	0.0397149468411736	0.13242441602599625	low	mid
early_warning	KS	COVID-19	1	52	0.1878384193591201	0.2478603084975483	0.06002188913842821	0	170	33.0	31.45294117647059	27.0	35.0	0.1920859039962378	0.20093278061673311	mid	high
early_warning	KS	Influenza	1	52	0.188868889933566	0.2921663892041442	0.10329749927057819	0	170	31.0	27.1	15.0	35.0	0.1920859039962378	0.18190972842411038	mid	mid
early_warning	KS	RSV	1	52	0.1396162158010057	0.2928684099114319	0.15325219411042623	0	170	31.0	27.54705882352941	15.0	35.0	0.1920859039962378	0.18235823434146767	mid	mid
early_warning	KY	COVID-19	1	52	0.0960116028598826	0.1215554514189244	0.025543848559041807	0	168	20.0	19.982142857142858	2.0	37.0	0.1990427853429372	0.21876730260881438	mid	mid
early_warning	KY	Influenza	1	52	0.0999756190006529	0.1451946751480873	0.04521905614743439	0	165	22.0	19.575757575757574	1.0	37.0	0.2266363589854865	0.22226595650446276	mid	mid
early_warning	KY	RSV	1	52	0.0819750110476772	0.0667966215368602	-0.015178389510817	1	166	13.0	15.343373493975903	1.0	37.0	0.1566232779927071	0.19731071137437534	mid	low
early_warning	LA	COVID-19	1	52	0.1284270486672051	0.1368764923946562	0.0084494437274511	0	161	30.0	49.73913043478261	7.0	106.0	0.2179268211504824	0.24216802315996808	mid	mid
early_warning	LA	Influenza	1	52	1.152997730750405	1.249842836824524	0.09684510607411911	0	123	11.0	22.048780487804876	7.400000000000002	56.0	0.1665222234099551	0.16033473675200816	mid	low
early_warning	LA	RSV	1	52	0.21859825516656	0.5087574169048552	0.2901591617382952	0	123	11.0	13.195121951219512	8.200000000000001	18.0	0.0997400021379192	0.12838183855421265	low	low
early_warning	MA	COVID-19	1	52	0.0788640548939692	0.0788070122420314	-5.704265193778868e-05	1	170	25.0	24.51764705882353	21.0	27.0	0.6964572683692464	0.7018211065429616	high	mid
early_warning	MA	Influenza	1	52	0.0795666764008083	0.1039657100865612	0.0243990336857529	0	169	10.0	8.946745562130177	5.0	12.0	0.340712793878981	0.348298307262902	mid	low
early_warning	MA	RSV	1	52	0.0433112734813742	0.1804146867460489	0.1371034132646747	0	170	10.0	9.111764705882353	5.0	12.0	0.340712793878981	0.34846245669022635	mid	low
early_warning	MD	COVID-19	1	52	0.0661529852445843	0.0715482040806358	0.005395218836051499	0	170	24.0	21.323529411764707	9.0	27.0	0.0741924240869054	0.08357911101880756	low	mid
early_warning	MD	Influenza	1	52	0.0662266545469415	0.0694268233585774	0.0032001688116359006	0	170	22.0	17.288235294117648	5.0	26.0	0.0715535309234869	0.06019191810687294	low	mid
early_warning	MD	RSV	1	52	0.0562124180902778	0.099268666826711	0.0430562487364332	0	170	22.0	17.51764705882353	5.0	26.0	0.0715535309234869	0.060521769089014195	low	mid
early_warning	ME	COVID-19	1	52	0.1385932492527204	0.1395862385534472	0.0009929893007268042	0	170	49.0	49.129411764705885	40.0	61.0	0.21539223110828004	0.2148550056756508	mid	high
early_warning	ME	Influenza	1	52	0.1391116305824771	0.1556535336397219	0.01654190305724479	0	170	28.0	26.011764705882353	7.0	43.099999999999994	0.1282308834666242	0.12840612270926208	low	mid
early_warning	ME	RSV	1	52	0.1316176532092669	0.2955630989070131	0.1639454456977462	0	170	26.0	22.6	9.0	32.0	0.1242397232488145	0.11306401687389786	low	mid
early_warning	MI	COVID-19	1	52	0.0882059283714289	0.0914793228350503	0.00327339446362139	0	170	98.0	84.62941176470588	33.0	125.0	0.39515711872905096	0.3867536373932079	high	high
early_warning	MI	Influenza	1	52	0.0884425775625515	0.1121661116273526	0.0237235340648011	0	170	21.0	36.252941176470586	14.0	85.19999999999999	0.04574984463314815	0.07253977405123543	low	mid
early_warning	MI	RSV	1	52	0.0803447846874727	0.0871896767736071	0.0068448920861343965	0	170	26.5	40.476470588235294	16.0	76.0	0.3051494275365332	0.23357269186140475	mid	mid
early_warning	MN	COVID-19	1	52	0.1271374339204477	0.1675567348176014	0.040419300897153676	0	170	69.0	71.48823529411764	53.800000000000004	107.1	0.5840884440917197	0.7330780968625118	high	high
early_warning	MN	Influenza	1	52	0.1273321049517712	0.2231382732897426	0.0958061683379714	0	170	12.0	22.241176470588236	6.0	62.099999999999994	0.0567999170651517	0.1747385925253174	low	low
early_warning	MN	RSV	1	52	0.0630848037932238	0.1509204783675955	0.0878356745743717	0	170	12.0	22.711764705882352	9.0	62.099999999999994	0.0567999170651517	0.17547856979202686	low	low
early_warning	MO	COVID-19	1	52	0.1206202240778445	0.1470404970854722	0.026420273007627698	0	170	53.0	51.01764705882353	36.900000000000006	59.0	0.3956087828219646	0.39230610153417167	high	high
early_warning	MO	Influenza	1	52	0.7326797134945455	0.7520524888150187	0.019372775320473212	0	104	2.0	1.7211538461538463	1.0	2.0	0.0077521708500933	0.0077521708500933	low	low
early_warning	MO	RSV	1	52	0.4117884472503104	0.4908380144903905	0.07904956724008011	0	104	2.0	1.7211538461538463	1.0	2.0	0.0077521708500933	0.0077521708500933	low	low
early_warning	MS	COVID-19	1	52	0.122737572413091	0.1578655037483294	0.035127931335238394	0	156	6.0	6.673076923076923	2.0	10.0	0.03874416778455385	0.04845320419868084	low	low
early_warning	MS	Influenza	1	52	0.7023378983926849	0.5746344407549767	-0.12770345763770818	1	119	8.0	7.714285714285714	6.0	10.0	0.0265852987278652	0.044254099279303946	low	low
early_warning	MS	RSV	1	52	0.1645001242043637	0.5260443819074678	0.36154425770310417	0	119	8.0	7.831932773109243	6.0	10.0	0.0265852987278652	0.0444604177001682	low	low
early_warning	MT	COVID-19	1	52	0.2061796265896739	0.2979674008825521	0.09178777429287818	0	170	7.0	6.9	2.0	12.099999999999994	0.0755662003357582	0.06943389051647514	low	low
early_warning	NC	COVID-19	1	52	0.0677671986345937	0.0781257152987719	0.010358516664178197	0	170	74.0	78.5764705882353	61.0	100.1	0.20916197563484096	0.20629527199206157	mid	high
early_warning	NC	Influenza	1	52	0.0682148294362547	0.0906815390318761	0.0224667095956214	0	170	53.5	43.73529411764706	5.0	74.0	0.16328057172870655	0.14335183904155174	mid	high
early_warning	NC	RSV	1	52	0.0339491624520241	0.0755190164062022	0.04156985395417811	0	170	53.5	43.48823529411764	5.0	74.0	0.16142099589167375	0.13670668767320351	mid	high
early_warning	NE	COVID-19	1	52	0.1961121104770213	0.2203640723867237	0.024251961909702413	0	170	36.0	34.94117647058823	29.0	39.0	0.6707572167076783	0.6442047375025265	high	high
early_warning	NE	Influenza	1	52	0.7285033502411348	0.7489683948619461	0.020465044620811335	0	140	36.0	34.857142857142854	31.0	39.0	0.6756131655672113	0.6558234710127082	high	high
early_warning	NE	RSV	1	52	0.1790228060165851	0.3948377306504705	0.2158149246338854	0	140	37.0	35.02857142857143	32.0	39.0	0.6774737240025936	0.6590543326670252	high	high
early_warning	NH	COVID-19	1	52	0.128477720748574	0.1312554778993835	0.0027777571508094956	0	170	22.0	21.811764705882354	18.0	25.099999999999994	0.18926522079508595	0.2030308328563748	mid	mid
early_warning	NH	Influenza	1	52	0.128477720748574	0.1602968250041272	0.031819104255553204	0	170	19.0	16.9	8.0	23.099999999999994	0.1799453424983582	0.15822178577639812	mid	mid
early_warning	NH	RSV	1	52	0.1179586876123428	0.1413169827183803	0.023358295106037513	0	170	19.0	17.223529411764705	9.0	23.099999999999994	0.1799453424983582	0.159354087732358	mid	mid
early_warning	NJ	COVID-19	1	52	0.0328073463436937	0.109690899368726	0.0768835530250323	0	170	57.0	53.26470588235294	36.900000000000006	60.0	0.4356235235544733	0.4342873025210974	high	high
early_warning	NJ	Influenza	1	52	0.0330398903371358	0.0518178681480589	0.0187779778109231	0	170	56.0	51.28823529411765	32.7	60.0	0.4298442958326738	0.39859206114286944	high	high
early_warning	NJ	RSV	1	52	0.0306436552713243	0.1092339556507856	0.0785903003794613	0	170	57.0	46.71176470588235	13.800000000000004	60.0	0.4299864220255358	0.36525042032707244	high	high
early_warning	NM	COVID-19	1	52	0.0913195224245141	0.1495489395646346	0.058229417140120504	0	170	13.0	13.364705882352942	9.0	19.099999999999994	0.3405864225188963	0.31975069652017624	mid	low
